Reference Name,Display Name,Description,Type,Usage,Is Queryable,Can Sort By,Is Identity,Is Picklist,Picklist ID,Is Picklist Suggested,Read Only,Is Locked,Supported Operations Count,URL
Custom.BugEffort,BugEffort,,integer,workItem,True,True,False,False,,False,False,False,15,https://dev.azure.com/1id/_apis/wit/fields/Custom.BugEffort
Custom.BugOrigin,BugOrigin,,string,workItem,True,True,False,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Custom.BugOrigin
Custom.BugPriority,BugPriority,,string,workItem,True,True,False,True,7097487d-94d0-4e89-afaf-0b03468bbc73,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Custom.BugPriority
Custom.4c3922ed-24d3-4cdd-b680-f978318d30c7,BugSeverity,,string,workItem,True,True,False,True,b8cae83d-158f-4dc6-81f9-7fd053bcb8de,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Custom.4c3922ed-24d3-4cdd-b680-f978318d30c7
Custom.Bugtest,Bugtest,,string,workItem,True,True,False,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Custom.Bugtest
Custom.BusinessOutcome,Business Outcome,Justification on why performing this work is valuable to the business.,html,workItem,True,False,False,False,,False,False,False,2,https://dev.azure.com/1id/_apis/wit/fields/Custom.BusinessOutcome
Microsoft.VSTS.Common.BusinessValue,Business Value,The business value for the customer when the epic is released,integer,workItem,True,True,False,False,,False,False,False,15,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.Common.BusinessValue
Custom.CABApprovedPAR,CAB Approved PAR,Use for Pre-Approved CAB work items,string,workItem,True,True,False,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Custom.CABApprovedPAR
Microsoft.VSTS.CMMI.CalledBy,Called By,The person who called the review,string,workItem,True,True,True,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.CMMI.CalledBy
Microsoft.VSTS.CMMI.CalledDate,Called Date,The date and time the review was called,dateTime,workItem,True,True,False,False,,False,False,False,14,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.CMMI.CalledDate
Custom.CascadingTechArea,CascadingTechArea,,string,workItem,True,True,False,True,a25cd367-5dbc-4647-bd38-e7c0e1d11061,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Custom.CascadingTechArea
Custom.ChangeCompletionDate,Change Completion Date,,dateTime,workItem,True,True,False,False,,False,False,False,14,https://dev.azure.com/1id/_apis/wit/fields/Custom.ChangeCompletionDate
Custom.ChangeRisk,Change Risk,,string,workItem,True,True,False,True,92071310-27ab-4cc0-88da-aa8fac7b9478,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Custom.ChangeRisk
System.ChangedBy,Changed By,,string,workItem,True,True,True,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/System.ChangedBy
System.ChangedDate,Changed Date,,dateTime,workItem,True,True,False,False,,False,True,False,14,https://dev.azure.com/1id/_apis/wit/fields/System.ChangedDate
Microsoft.VSTS.Common.ClosedBy,Closed By,,string,workItem,True,True,True,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.Common.ClosedBy
Microsoft.VSTS.Common.ClosedDate,Closed Date,,dateTime,workItem,True,True,False,False,,False,False,False,14,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.Common.ClosedDate
Microsoft.VSTS.CodeReview.ClosedStatus,Closed Status,,string,workItem,True,True,False,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.CodeReview.ClosedStatus
Microsoft.VSTS.CodeReview.ClosedStatusCode,Closed Status Code,,integer,workItem,True,True,False,False,,False,False,False,15,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.CodeReview.ClosedStatusCode
Microsoft.VSTS.CodeReview.ClosingComment,Closing Comment,,string,workItem,True,True,False,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.CodeReview.ClosingComment
System.CommentCount,Comment Count,,integer,workItem,True,True,False,False,,False,True,False,14,https://dev.azure.com/1id/_apis/wit/fields/System.CommentCount
Microsoft.VSTS.CMMI.Comments,Comments,Comments for the review,html,workItem,True,False,False,False,,False,False,False,2,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.CMMI.Comments
Microsoft.VSTS.CMMI.Committed,Committed,Has the requirement been committed?,string,workItem,True,True,False,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.CMMI.Committed
